Year,Month,Prec_Cape,Prec_Accra,Prec_Kumasi
2002,1,1.346875,3.546875,0.08125
2002,2,1.986206897,0.906896552,0.331034483
2002,3,2.096875,1.290625,2.153125
2002,4,5.783870968,4.425806452,7.835483871
2002,5,3.44375,4.490625,6.55
2002,6,8.019354839,13.76129032,8.758064516
2002,7,3.525,1.20625,9.0125
2002,8,1.671875,0.459375,2.61875
2002,9,0.470967742,1.019354839,4.274193548
2002,10,1.621875,2.2,10.284375
2002,11,1.35483871,0.787096774,1.812903226
2002,12,1.1,0.615625,0.54375
2003,1,0.04375,0.1125,1.059375
2003,2,0.95862069,0.393103448,2.637931034
2003,3,3.375,0.878125,2.378125
2003,4,6.406451613,7.064516129,4.306451613
2003,5,3.8125,2.38125,6.05625
2003,6,4.767741935,9.935483871,8.406451613
2003,7,0.6,1.36875,3.196875
2003,8,0.4375,1.059375,1.0875
2003,9,0.95483871,1.574193548,3.5
2003,10,6.284375,3.51875,5.940625
2003,11,2.64516129,1.680645161,5.619354839
2003,12,0.484375,0.859375,1.340625
2004,1,1.975,0.490625,0.8375
2004,2,0.563333333,0.656666667,2.396666667
2004,3,1.7375,0.259375,5.228125
2004,4,0.609677419,0.980645161,3.377419355
2004,5,7.078125,3.953125,2.415625
2004,6,4.467741935,3.938709677,1.519354839
2004,7,1.2375,1.425,7.3875
2004,8,0.796875,0.825,3.84375
2004,9,4.909677419,3.522580645,8.14516129
2004,10,5.2,3.046875,7.575
2004,11,3.132258065,1.083870968,1.758064516
2004,12,0.375,0.525,2.765625
2005,1,0.69375,0.03125,0.421875
2005,2,1.737931034,0.317241379,1.755172414
2005,3,5.640625,4.0625,2.6625
2005,4,1.732258065,1.170967742,4.851612903
2005,5,3.8,3.5625,8.659375
2005,6,6.558064516,5.587096774,4.106451613
2005,7,0.509375,1.671875,0.790625
2005,8,0.66875,1.115625,1.396875
2005,9,2.506451613,1.193548387,5.906451613
2005,10,3.784375,3.15625,7.715625
2005,11,3.022580645,3.112903226,1.961290323
2005,12,0.63125,2.13125,1.30625
2006,1,0.0375,0.303125,3.503125
2006,2,0.086206897,0.275862069,3.462068966
2006,3,0.68125,0.9,3.61875
2006,4,3.551612903,1.322580645,2.287096774
2006,5,8.95,7.55,6.009375
2006,6,8.341935484,4.003225806,4.883870968
2006,7,1.159375,1.534375,2.303125
2006,8,2.125,0.753125,2.2875
2006,9,1.416129032,2.583870968,3.883870968
2006,10,5.009375,2.675,5.2625
2006,11,3.074193548,0.716129032,1.403225806
2006,12,0.6,0.378125,0.490625
2007,1,0.03125,0.03125,0.0375
2007,2,0.110344828,0.668965517,0.651724138
2007,3,2.978125,2.046875,1.85
2007,4,2.75483871,2.851612903,10.15806452
2007,5,2.8,4.709375,5.2875
2007,6,4.877419355,5.548387097,5.870967742
2007,7,2.9375,3.903125,6.246875
2007,8,1.365625,2.440625,3.928125
2007,9,2.035483871,3.164516129,17.53225806
2007,10,5.2875,2.378125,5.121875
2007,11,1.267741935,1.787096774,2.022580645
2007,12,0.70625,0.5,0.99375
2008,1,0.140625,0.10625,0.03125
2008,2,0.066666667,0.066666667,1.856666667
2008,3,1.88125,1.753125,3.1375
2008,4,2.477419355,6.761290323,4.387096774
2008,5,8.640625,12.509375,7.64375
2008,6,5.364516129,3.825806452,9.441935484
2008,7,2.028125,4.31875,4.315625
2008,8,1.50625,1.1625,6.26875
2008,9,1.606451613,1.238709677,5.796774194
2008,10,3.434375,2.225,2.659375
2008,11,1.158064516,4.170967742,0.94516129
2008,12,1.675,4.325,2.0875
2009,1,0.44375,0.184375,0.03125
2009,2,1.737931034,0.586206897,4.6
2009,3,2.003125,2.55,3.55
2009,4,4.990322581,3.735483871,4.638709677
2009,5,6.890625,2.421875,5.3
2009,6,10.53548387,6.829032258,12.34516129
2009,7,5.96875,3.515625,8.765625
2009,8,0.428125,0.571875,0.8
2009,9,1.048387097,0.419354839,3.493548387
2009,10,0.459375,0.39375,4.64375
2009,11,1.267741935,0.35483871,1.812903226
2009,12,1.45,1.790625,1.41875
2010,1,0.14375,0.984375,0.490625
